# "Strom" I_A1 / A	"Spannung" U_B1 / V	"Leistungsfaktor" cos&j_1	"Strom" I_A2 / A	"Spannung" U_B2 / V	"Leistungsfaktor" cos&j_2	"P_ein" P_1 / W	"P_aus" P_2 / W
0.6733097508	46.76431895	0.791656865	0.4631061003	45.01836782	0.9896244639	24.92679833	20.63196867
0.7175274426	46.73735487	0.8051803549	0.5021507216	44.9165653	0.9914323387	27.0019927	22.36164306
0.7632330642	46.73772873	0.8174670795	0.545243983	44.83212888	0.9923594266	29.16050575	24.25767891
0.2658929653	46.87920945	0.2229371159	0.0002276575863	46.02473378	0	2.778878157	0
0.3352359605	46.83547228	0.4943448544	0.09655951453	45.78253348	0.8988462996	7.761676197	3.973565078
0.4177067125	46.78699947	0.6301476125	0.2008548834	45.54754225	0.9653802624	12.31512838	8.831729477
0.4997198592	46.76549327	0.7072055364	0.2906653471	45.40169854	0.9794210585	16.52714283	12.92512634
0.615331095	46.74248191	0.7719975539	0.4075997068	45.13432223	0.9881192755	22.20427283	18.17816995
0.7331488234	46.65428263	0.8114671619	0.5191384759	44.8234983	0.9919901042	27.75585485	23.0832155
0.9323593714	46.64738004	0.8476330724	0.6972994294	44.36964261	0.9952625615	36.86536094	30.79235521
1.171478706	46.56838237	0.8695368867	0.9068967564	43.75046	0.9964791179	47.4366008	39.5374517
1.410674144	46.49510296	0.8780527996	1.10958426	43.07862304	0.9975010971	57.59099102	47.67991612
1.740095396	46.42004109	0.8782766706	1.386906567	42.07362465	0.9981933914	70.94306136	58.24676675
1.873959545	46.35934424	0.8759718059	1.499552797	41.60626138	0.998379589	76.10051984	62.28968692
2.133937549	46.32848113	0.8683379014	1.71528872	40.71225145	0.9985416746	85.84569582	69.73142606
2.361015285	46.25967892	0.8585920728	1.903572115	39.816568	0.99872259	93.7752622	75.6968889
2.6881408	46.19126075	0.8413200165	2.172204254	38.45123112	0.9989103517	104.4655392	83.4329161
2.907550316	46.15752745	0.8272390256	2.353108621	37.464273	0.999001673	111.0198893	88.06949379
3.102592422	46.06734303	0.8128345133	2.513075015	36.46666744	0.999034365	116.1769653	91.55497669
3.330090161	46.06972712	0.7945803626	2.700323097	35.32886559	0.9991036156	121.901615	95.31383727
3.568223895	46.0149704	0.7711955125	2.895299952	33.9009687	0.9989900196	126.6239152	98.05433997
3.813101039	46.00661563	0.7467068059	3.096578241	32.46042825	0.9990556875	130.9931874	100.4213371
4.068673502	45.93934257	0.7173053099	3.307778771	30.74835809	0.9990913442	134.0731034	101.6163479
4.274835091	45.99066142	0.6922922632	3.477452649	29.37440776	0.9991062878	136.106385	102.0568211
4.407723236	45.99250675	0.6755059323	3.586140481	28.43832298	0.9991636864	136.9400762	101.8985308
4.582517501	46.00249195	0.65051649	3.727978989	27.06054436	0.9991758518	137.1335757	100.7979998
4.770321176	45.97687341	0.6213597321	3.885647233	25.48432796	0.9991921579	136.2793833	98.9431134
4.91109269	46.00232916	0.5982310329	4.001160366	24.22805472	0.9992217585	135.1533734	96.86488931
5.106056091	45.97258416	0.5630330389	4.163000825	22.37232833	0.9992324093	132.1655836	93.06453096
5.212428299	45.97149822	0.5425862279	4.263535876	21.15180095	0.9991013407	130.0162147	90.10041981
5.251247317	45.99630572	0.5346120534	4.286308832	20.86765124	0.9992403659	129.1291139	89.37725221
5.446974351	46.02088292	0.4922785532	4.448987426	18.6736218	0.9992767486	123.4017141	83.01862179
5.450836884	46.02457108	0.4922936915	4.448987426	18.64879786	0.9992940923	123.5029145	82.90969926
5.599114308	46.04257374	0.4577929977	4.57001048	16.86386933	0.9992989677	118.0179514	77.01403236
5.694771275	46.06918529	0.4326440556	4.651863501	15.60745886	0.9993164097	113.5056706	72.55413698
5.792411461	46.08478737	0.4066361323	4.733027586	14.27275473	0.9993558628	108.548283	67.50982826
6.00817929	46.15649992	0.3396243139	4.913133582	10.88830388	0.9993688301	94.1834352	53.46192655
6.142106235	46.23447262	0.2901388928	5.028825384	8.421050034	0.9994115627	82.39278471	42.32307103
6.253603611	46.31231423	0.242715547	5.122218116	6.050972097	0.999445297	70.29499896	30.97720621
6.446151513	46.45858117	0.125762475	5.283851432	0.268405821	0.9892557646	37.66322695	1.40297883
