# "Strom" I_A1 / A	"Spannung" U_B1 / V	"Leistungsfaktor" cos&j_1	"Strom" I_A2 / A	"Spannung" U_B2 / V	"Leistungsfaktor" cos&j_2	"P_ein" P_1 / W	"P_aus" P_2 / W
0.5107049678	46.81494811	0.8350632256	0.5080465756	46.78886678	0.9110636917	19.96521482	21.65682536
0.5520381585	46.80497598	0.8324098294	0.5442411396	46.76485273	0.8987074426	21.50791567	22.87332373
0.5959702894	46.79073403	0.8263124203	0.5836267337	46.74493841	0.8844450685	23.04245503	24.1290728
0.6474696576	46.78123699	0.8156610566	0.6309585705	46.74349657	0.8656786073	24.7059097	25.53164076
0.7066666667	46.75486994	0.8004401432	0.6822886855	46.71368843	0.842792771	26.44662885	26.86167752
0.7645206366	46.78454516	0.7818662757	0.7322568589	46.73788896	0.8176625029	27.96559768	27.98379578
0.8349661891	46.77083071	0.7520721369	0.7936859894	46.72490877	0.7824222292	29.36996793	29.01605439
0.9037110089	46.7527877	0.7187596914	0.852698955	46.69701323	0.7431652293	30.36832214	29.59172051
0.9742424743	46.76394529	0.6792281849	0.9141273057	46.70310678	0.6984030958	30.94524335	29.81663366
1.039549867	46.77814203	0.6337697722	0.9704601356	46.71021492	0.6495602166	30.81909043	29.44482542
